id,name,url,category_breadcrumb,price_number,discountPercentage,ratingAverage,shop_id,shop_name,shop_city,shop_tier,countSold,name_clean,has_promo,umkm_label,bm25_score,popularity_raw,value_score,base_score,final_score
102071724547,Monica bag tas selempang wanita Kulit Cewek,https://www.tokopedia.com/lord-of-bags/monica-bag-tas-selempang-wanita-kulit-cewek-1732164790467266343?extParam=ivf%3Dfalse%26keyword%3Dtas+wanita%26search_id%3D2026011515592894F6D7E04A4D452897AR%26src%3Dsearch,fashion-wanita/tas-wanita/tas-selempang-wanita,35000,65,4.8,7495479895728556839,LORD OF BAGS,Kab. Bogor,1,250,monica bag tas selempang wanita kulit cewek,True,UMKM,25.558026689260544,4.918205037572058,0.8961379310344827,0.6374450007128053,0.7011895007840859
100480532469,plus box tas selempang wanita kulit lioni by light gwin size pxlxt(25x9x15cm)-Tas wanita shoulderbags premium,https://www.tokopedia.com/light-gwin-original/plus-box-tas-selempang-wanita-kulit-lioni-by-light-gwin-size-pxlxt-25x9x15cm-tas-wanita-shoulderbags-premium-1731435360828294984?extParam=ivf%3Dfalse%26keyword%3Dtas+wanita%26search_id%3D20260115150458577BCC914F9E550DFD1E%26src%3Dsearch,fashion-wanita/tas-wanita/tas-selempang-wanita,55000,72,4.9,7494672769747094344,Light Gwin Original,Kab. Pemalang,1,1000,plus box tas selempang wanita kulit lioni by light gwin size pxlxt 25x9x15cm tas wanita shoulderbags premium,True,UMKM,23.79233183960666,6.014384401373895,0.9342758620689655,0.6274920144028493,0.6902412158431342
102441306817,Promo Harga Diskon TAS WANITA KULIT ASLI(HANDMADE) - Tembaga,https://www.tokopedia.com/tokoh-may-shop99/promo-harga-diskon-tas-wanita-kulit-asli-handmade-tembaga-1732915999458690957?extParam=ivf%3Dfalse%26keyword%3Dproduk+handmade%26search_id%3D20260305110254F2FC990265C7123D9YAR%26src%3Dsearch,fashion-wanita/tas-wanita/tote-bag,2226000,47,0.0,12249407,TOKOH MAY SHOP99,Malang,1,0,promo harga diskon tas wanita kulit asli handmade tembaga,True,UMKM,37.3631908135731,0.0,0.16206896551724137,0.6149618169431257,0.6764579986374383
100103462714,[Handmadeshoesby] Dompet Doche Wanita Kulit Kartu,https://www.tokopedia.com/handmadeshoesby-261/handmadeshoesby-dompet-doche-wanita-kulit-kartu-1729713957682449340?extParam=ivf%3Dfalse%26keyword%3Dproduk+handmade%26search_id%3D20260305113840BC6DC48B743DC50E4AH2%26src%3Dsearch,fashion-wanita/tas-wanita/dompet-wanita,40000,11,4.6,7494083491673180092,Handmadeshoesby_NEW,Kab. Mojokerto,2,7000,handmadeshoesby dompet doche wanita kulit kartu,False,UMKM,24.57898922768694,7.423530828678525,0.6819310344827585,0.5972873118458678,0.6570160430304547
100652150637,FOXER Tas Selempang Wanita Tas Bahu Yang Modis Dan Lucu Tas Wanita Kulit Cewek,https://www.tokopedia.com/foxerid/foxer-tas-selempang-wanita-tas-bahu-yang-modis-dan-lucu-tas-wanita-kulit-cewek-1731760028314470142?extParam=ivf%3Dfalse%26keyword%3Dtas+wanita%26search_id%3D2026011515552794F6D7E04A4D45360V6Z%26src%3Dsearch,fashion-wanita/tas-wanita/tas-selempang-wanita,289999,59,0.0,7496139288849320702,FOXER.Id,Kab. Tangerang,2,13,foxer tas selempang wanita tas bahu yang modis dan lucu tas wanita kulit cewek,True,UMKM,34.533335868453634,1.583434397769155,0.20344827586206896,0.5918629798011872,0.651049277781306
100019335859,jasmine - shoulderbag vintage tas bahu wanita Kulit PU,https://www.tokopedia.com/alus-bags/jasmine-shoulderbag-vintage-tas-bahu-wanita-kulit-pu-1729578124856821993?extParam=ivf%3Dfalse%26keyword%3Dtas+wanita%26search_id%3D2026011516292211B9842E0A271F2B6HLD%26src%3Dsearch,fashion-wanita/tas-wanita/shoulder-bag-wanita,99000,0,4.7,7494674286857455849,alus bags_NEW,Kab. Pemalang,3,8000,jasmine shoulderbag vintage tas bahu wanita kulit pu,False,UMKM,24.319480667158725,7.78697388982385,0.658,0.5910208427611934,0.6501229270373128
100109905391,NEYMO creamy bag / Shoulder Bag / Ts Bahu Wanita Kulit Selempang hand bag,https://www.tokopedia.com/neymobag66/neymo-creamy-bag-shoulder-bag-ts-bahu-wanita-kulit-selempang-hand-bag-1729653498013452083?extParam=ivf%3Dfalse%26keyword%3Dtas+wanita%26search_id%3D2026011515253420F07591C6FCB2164BYO%26src%3Dsearch,fashion-wanita/tas-wanita/shoulder-bag-wanita,39900,67,4.7,7494691068430420787,Neymobag66,Kab. Bogor,3,10000,neymo creamy bag shoulder bag ts bahu wanita kulit selempang hand bag,True,UMKM,21.059218990863254,7.961882170364648,0.8890344827586207,0.5892146313648398,0.6481360945013238
102671111298,CHARLES KYLIE - Tas bahu wanita kulit / Shoulder bag fashion / Tas wanita populer ternaru#2549,https://www.tokopedia.com/calvickylie/charles-kylie-tas-bahu-wanita-kulit-shoulder-bag-fashion-tas-wanita-populer-ternaru-2549-1729729215997838908?extParam=ivf%3Dfalse%26keyword%3Dtas+wanita%26search_id%3D2026011516550894F6D7E04A4D451FALUY%26src%3Dsearch,fashion-wanita/tas-wanita/shoulder-bag-wanita,158000,43,4.6,14591017,Calvic kylie,Kab. Tangerang,1,60,charles kylie tas bahu wanita kulit shoulder bag fashion tas wanita populer ternaru 2549,True,UMKM,24.39012136529437,3.4925040614886016,0.7922758620689654,0.5711606280445954,0.628276690849055
102418699328,FOXER Tas Selempang Wanita Totebag Wanita Tas Bahu Wanita Slingbag Tas Bulan Sabit Selempang Wanita Kulit,https://www.tokopedia.com/foxerid/foxer-tas-selempang-wanita-totebag-wanita-tas-bahu-wanita-slingbag-tas-bulan-sabit-selempang-wanita-kulit-1732865389945587454?extParam=ivf%3Dfalse%26keyword%3Dtas+wanita%26search_id%3D2026011515552794F6D7E04A4D45360V6Z%26src%3Dsearch,fashion-wanita/tas-wanita/tas-selempang-wanita,219999,56,5.0,7496139288849320702,FOXER.Id,Kab. Tangerang,2,30,foxer tas selempang wanita totebag wanita tas bahu wanita slingbag tas bulan sabit selempang wanita kulit,True,UMKM,22.872625478920384,2.704167487664728,0.893103448275862,0.5575508976102426,0.6133059873712668
100134019428,Boston Bags - Tas Wanita / Tas Selempang Wanita / Tas Bahu / Tas jinjing / Tas Kondangan / Tas Viral Hitam Kulit,https://www.tokopedia.com/beautyidstore/boston-bags-tas-wanita-tas-selempang-wanita-tas-bahu-tas-jinjing-tas-kondangan-tas-viral-hitam-kulit-1730006652429961531?extParam=ivf%3Dtrue%26keyword%3Dtas+wanita%26search_id%3D2026011516370694F6D7E04A4D450A85D2%26src%3Dsearch,fashion-wanita/tas-wanita/tas-selempang-wanita,67200,72,4.9,7494657213867133243,BeautyID.Store,Kab. Bogor,2,7000,boston bags tas wanita tas selempang wanita tas bahu tas jinjing tas kondangan tas viral hitam kulit,True,UMKM,18.06525689355116,8.135444139951062,0.9342758620689655,0.5459904547953254,0.6005895002748579
