query,method,lambda,K,Precision,Recall,NDCG,Fairness,ExposureDisparity
baju batik pria,Hybrid,0.1,20,1.0,0.014245014245014245,0.9936709927096017,0.95,0.07691628783689025
baju batik pria,BM25,,30,1.0,0.021367521367521368,1.0,0.9666666666666667,0.06783472568265317
baju batik pria,Hybrid,0.1,30,1.0,0.021367521367521368,0.9944313412518007,0.9666666666666667,0.02735491973472376
baju batik pria,BM25,,40,1.0,0.02849002849002849,1.0,0.975,0.03842394943405955
baju batik pria,Hybrid,0.1,40,1.0,0.02849002849002849,0.9946919519432302,0.975,0.0017098752664516104
baju batik pria,BM25,,50,1.0,0.03561253561253561,1.0,0.98,0.018512436193079157
baju batik pria,Hybrid,0.1,50,1.0,0.03561253561253561,0.9943439090317471,0.98,0.021416624095694725
tas wanita kulit,BM25,,10,1.0,0.006426735218508998,1.0,0.7,0.18386674867147296
tas wanita kulit,Hybrid,0.1,10,1.0,0.006426735218508998,0.9857552708743942,0.9,0.1090541630009026
tas wanita kulit,BM25,,20,1.0,0.012853470437017995,1.0,0.7,0.09759797748235083
tas wanita kulit,Hybrid,0.1,20,1.0,0.012853470437017995,0.9871007358404197,0.8,0.08846596158044345
tas wanita kulit,BM25,,30,1.0,0.019280205655526992,1.0,0.6,0.09858502473001193
tas wanita kulit,Hybrid,0.1,30,1.0,0.019280205655526992,0.9888312487218259,0.8333333333333334,0.048028437055383455
tas wanita kulit,BM25,,40,1.0,0.02570694087403599,1.0,0.625,0.06685133176393568
tas wanita kulit,Hybrid,0.1,40,1.0,0.02570694087403599,0.9897509387238789,0.7,0.07797908196643327
tas wanita kulit,BM25,,50,1.0,0.032133676092544985,1.0,0.66,0.0443386300166502
tas wanita kulit,Hybrid,0.1,50,1.0,0.032133676092544985,0.9808240357046488,0.7,0.06166555308094504
keripik singkong,BM25,,10,1.0,0.005963029218843173,1.0,0.7,0.36564854864045426
keripik singkong,Hybrid,0.1,10,1.0,0.005963029218843173,0.9934989500163388,0.8,0.06816918324270627
keripik singkong,BM25,,20,1.0,0.011926058437686345,1.0,0.85,0.4215252926599729
keripik singkong,Hybrid,0.1,20,1.0,0.011926058437686345,0.9915605505660078,0.85,0.0757335359518555
keripik singkong,BM25,,30,1.0,0.017889087656529516,1.0,0.8666666666666667,0.3260914454183203
keripik singkong,Hybrid,0.1,30,1.0,0.017889087656529516,0.9912718428690356,0.9,0.1233343221413592
keripik singkong,BM25,,40,1.0,0.02385211687537269,1.0,0.825,0.1727833727401781
keripik singkong,Hybrid,0.1,40,1.0,0.02385211687537269,0.99096630503089,0.925,0.15039038636639274
keripik singkong,BM25,,50,1.0,0.02981514609421586,1.0,0.78,0.0959245382183034
keripik singkong,Hybrid,0.1,50,1.0,0.02981514609421586,0.9912897979036291,0.9,0.06992775943746277
hiasan rumah handmade,BM25,,10,1.0,0.02247191011235955,1.0,0.8,0.09555902751698847
hiasan rumah handmade,Hybrid,0.1,10,1.0,0.02247191011235955,0.9895656873636375,0.8,0.03471951205445106
hiasan rumah handmade,BM25,,20,0.95,0.04269662921348315,1.0,0.75,0.014774838426149517
hiasan rumah handmade,Hybrid,0.1,20,0.95,0.04269662921348315,0.9883807975437693,0.8,0.0074037893078665595
hiasan rumah handmade,BM25,,30,0.9666666666666667,0.0651685393258427,1.0,0.7666666666666667,0.018954339303484224
hiasan rumah handmade,Hybrid,0.1,30,0.8333333333333334,0.056179775280898875,0.9903204680288139,0.6666666666666666,0.05295205284821436
hiasan rumah handmade,BM25,,40,0.95,0.0853932584269663,1.0,0.775,0.018595483925095635
hiasan rumah handmade,Hybrid,0.1,40,0.875,0.07865168539325842,0.9914405587163326,0.625,0.05194860493859285
hiasan rumah handmade,BM25,,50,0.92,0.10337078651685393,1.0,0.74,0.00019400009379705319
hiasan rumah handmade,Hybrid,0.1,50,0.88,0.09887640449438202,0.991877347497575,0.54,0.0659918111128368
